iter	Passed	Remaining
0	18	18081
1	33	16603
2	47	15822
3	62	15517
4	76	15239
5	90	14958
6	104	14871
7	116	14488
8	130	14372
9	144	14326
10	157	14140
11	170	14058
12	183	13950
13	197	13885
14	210	13805
15	223	13758
16	237	13737
17	250	13681
18	265	13697
19	279	13699
20	293	13686
21	307	13678
22	323	13721
23	336	13678
24	349	13617
25	363	13598
26	376	13577
27	391	13580
28	404	13551
29	418	13535
30	432	13515
31	446	13498
32	460	13484
33	474	13471
34	487	13439
35	500	13393
36	513	13354
37	528	13368
38	541	13342
39	554	13308
40	568	13293
41	582	13280
42	595	13250
43	610	13262
44	623	13228
45	637	13216
46	650	13193
47	663	13159
48	677	13153
49	690	13119
50	703	13092
51	716	13068
52	729	13035
53	743	13024
54	756	13005
55	771	12998
56	784	12985
57	797	12945
58	810	12923
59	823	12902
60	838	12912
61	853	12913
62	867	12901
63	880	12876
64	894	12864
65	908	12850
66	920	12817
67	934	12805
68	948	12796
69	962	12783
70	975	12768
71	989	12751
72	1002	12729
73	1015	12712
74	1028	12690
75	1043	12691
76	1058	12693
77	1072	12680
78	1086	12664
79	1100	12655
80	1112	12623
81	1126	12611
82	1139	12588
83	1152	12569
84	1167	12568
85	1182	12565
86	1196	12553
87	1211	12551
88	1225	12547
89	1239	12533
90	1252	12512
91	1265	12491
92	1279	12478
93	1294	12473
94	1307	12454
95	1321	12447
96	1334	12422
97	1349	12421
98	1361	12391
99	1376	12389
100	1391	12388
101	1406	12381
102	1418	12357
103	1433	12353
104	1447	12339
105	1461	12325
106	1475	12311
107	1490	12307
108	1504	12301
109	1519	12291
110	1533	12278
111	1547	12272
112	1563	12270
113	1578	12269
114	1594	12272
115	1609	12269
116	1625	12267
117	1639	12251
118	1651	12228
119	1670	12248
120	1683	12232
121	1697	12213
122	1713	12216
123	1726	12197
124	1742	12194
125	1756	12182
126	1770	12169
127	1784	12159
128	1799	12151
129	1812	12126
130	1825	12108
131	1839	12097
132	1854	12089
133	1869	12079
134	1882	12061
135	1895	12041
136	1909	12030
137	1923	12017
138	1937	12003
139	1951	11985
140	1964	11967
141	1977	11947
142	1991	11933
143	2004	11917
144	2017	11897
145	2032	11885
146	2045	11867
147	2058	11852
148	2074	11846
149	2087	11829
150	2100	11807
151	2115	11803
152	2129	11790
153	2144	11780
154	2158	11767
155	2173	11759
156	2189	11755
157	2203	11743
158	2217	11728
159	2232	11721
160	2247	11713
161	2261	11700
162	2274	11681
163	2289	11673
164	2305	11669
165	2320	11656
166	2335	11647
167	2352	11650
168	2367	11643
169	2382	11632
170	2396	11616
171	2409	11601
172	2424	11588
173	2439	11579
174	2453	11565
175	2466	11547
176	2480	11533
177	2495	11524
178	2512	11521
179	2525	11504
180	2539	11490
181	2553	11478
182	2567	11463
183	2581	11450
184	2597	11441
185	2612	11431
186	2626	11418
187	2640	11404
188	2655	11395
189	2671	11387
190	2684	11372
191	2698	11355
192	2715	11354
193	2728	11337
194	2742	11323
195	2755	11304
196	2771	11295
197	2786	11285
198	2801	11274
199	2815	11260
200	2830	11250
201	2845	11241
202	2860	11232
203	2875	11221
204	2889	11206
205	2904	11193
206	2919	11182
207	2932	11166
208	2945	11146
209	2960	11135
210	2972	11116
211	2988	11106
212	3002	11092
213	3016	11080
214	3029	11060
215	3043	11045
216	3055	11024
217	3069	11010
218	3084	11000
219	3098	10986
220	3114	10979
221	3128	10962
222	3141	10945
223	3155	10930
224	3170	10919
225	3184	10905
226	3199	10894
227	3212	10878
228	3227	10867
229	3241	10853
230	3256	10841
231	3270	10827
232	3285	10816
233	3300	10803
234	3316	10795
235	3330	10782
236	3343	10765
237	3358	10754
238	3374	10743
239	3388	10729
240	3402	10714
241	3415	10697
242	3428	10679
243	3442	10667
244	3457	10655
245	3471	10640
246	3484	10623
247	3497	10605
248	3510	10586
249	3526	10578
250	3539	10563
251	3552	10544
252	3566	10529
253	3579	10512
254	3593	10498
255	3606	10482
256	3620	10468
257	3636	10457
258	3649	10440
259	3662	10422
260	3677	10411
261	3691	10397
262	3706	10386
263	3720	10372
264	3734	10357
265	3749	10346
266	3764	10335
267	3777	10318
268	3791	10303
269	3806	10292
270	3818	10272
271	3832	10257
272	3845	10240
273	3858	10224
274	3872	10208
275	3886	10194
276	3900	10179
277	3913	10163
278	3928	10153
279	3941	10135
280	3956	10123
281	3969	10105
282	3984	10094
283	3997	10078
284	4012	10066
285	4025	10049
286	4039	10034
287	4054	10023
288	4068	10008
289	4082	9994
290	4096	9980
291	4108	9962
292	4122	9946
293	4134	9929
294	4149	9917
295	4164	9904
296	4179	9892
297	4192	9876
298	4206	9860
299	4218	9843
300	4231	9827
301	4246	9813
302	4260	9800
303	4274	9786
304	4289	9774
305	4301	9756
306	4317	9746
307	4333	9736
308	4348	9724
309	4363	9712
310	4378	9699
311	4393	9687
312	4405	9670
313	4419	9655
314	4432	9638
315	4445	9623
316	4460	9611
317	4474	9597
318	4488	9581
319	4500	9563
320	4515	9551
321	4529	9537
322	4545	9526
323	4560	9514
324	4573	9498
325	4588	9486
326	4600	9469
327	4614	9453
328	4629	9442
329	4642	9425
330	4655	9408
331	4669	9394
332	4681	9376
333	4696	9364
334	4710	9351
335	4723	9334
336	4737	9320
337	4754	9311
338	4770	9300
339	4782	9283
340	4796	9269
341	4809	9253
342	4821	9236
343	4835	9221
344	4849	9207
345	4864	9194
346	4877	9179
347	4890	9162
348	4904	9147
349	4919	9135
350	4933	9121
351	4948	9108
352	4962	9094
353	4975	9079
354	4989	9065
355	5003	9051
356	5018	9038
357	5030	9021
358	5044	9006
359	5059	8994
360	5071	8977
361	5085	8962
362	5098	8946
363	5113	8934
364	5126	8919
365	5140	8905
366	5153	8888
367	5168	8877
368	5184	8864
369	5198	8850
370	5212	8838
371	5226	8823
372	5241	8810
373	5256	8797
374	5268	8781
375	5283	8768
376	5297	8753
377	5310	8738
378	5325	8725
379	5338	8709
380	5351	8694
381	5366	8682
382	5380	8667
383	5393	8652
384	5408	8638
385	5421	8623
386	5434	8608
387	5446	8591
388	5460	8576
389	5475	8563
390	5487	8546
391	5500	8531
392	5515	8519
393	5528	8502
394	5541	8487
395	5556	8474
396	5568	8458
397	5583	8445
398	5595	8428
399	5609	8414
400	5624	8401
401	5637	8385
402	5650	8370
403	5665	8358
404	5679	8344
405	5694	8331
406	5708	8316
407	5721	8301
408	5733	8284
409	5745	8267
410	5758	8252
411	5771	8237
412	5785	8222
413	5798	8207
414	5810	8190
415	5825	8177
416	5840	8165
417	5852	8148
418	5866	8134
419	5878	8118
420	5891	8103
421	5904	8087
422	5919	8074
423	5932	8059
424	5944	8042
425	5959	8029
426	5974	8017
427	5990	8005
428	6002	7989
429	6019	7978
430	6033	7965
431	6050	7955
432	6065	7942
433	6079	7928
434	6095	7917
435	6113	7908
436	6127	7894
437	6143	7882
438	6160	7872
439	6178	7863
440	6204	7865
441	6227	7861
442	6251	7860
443	6274	7856
444	6292	7848
445	6309	7837
446	6325	7825
447	6342	7814
448	6358	7803
449	6373	7790
450	6388	7776
451	6403	7763
452	6419	7751
453	6433	7737
454	6448	7723
455	6462	7710
456	6479	7698
457	6492	7682
458	6506	7669
459	6521	7655
460	6536	7641
461	6552	7630
462	6566	7615
463	6580	7601
464	6595	7588
465	6613	7578
466	6630	7567
467	6645	7553
468	6658	7538
